date,rank,track,artist,sales_last_week,sales_peak,sales_woc
3/9/2024,19,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,-,18,2
3/9/2024,20,Lil Boo Thang,Paul Russell,19,2,26
3/9/2024,21,Need A Favor,Jelly Roll,-,2,47
3/9/2024,22,Friendly Fire,Linkin Park,-,22,1
3/9/2024,23,Save Me,Jelly Roll,18,18,8
3/9/2024,24,Murder On The Dancefloor,Sophie Ellis-Bextor,24,7,7
3/9/2024,25,Holy Smokes,Bailey Zimmerman,-,25,1
3/16/2024,1,Lose Control,Teddy Swims,3,1,34
3/16/2024,2,Texas Hold 'Em,Beyonce,2,1,4
3/16/2024,3,Like What (Freestyle),Cardi B,-,3,1
3/16/2024,4,Beautiful Things,Benson Boone,1,1,7
3/16/2024,5,Pink Friday Girls,Nicki Minaj,-,5,2
3/16/2024,6,Standing Next To You,Jung Kook,5,1,18
3/16/2024,7,Lovin On Me,Jack Harlow,7,1,17
3/16/2024,8,Let Me Calm Down,Nicki Minaj Featuring J. Cole,-,8,2
3/16/2024,9,Flowers,Miley Cyrus,9,1,46
3/16/2024,10,Made For Me,Muni Long,10,8,5
3/16/2024,11,Doctor (Work It Out),Pharrell & Miley Cyrus,-,11,1
3/16/2024,12,Where The Wild Things Are,Luke Combs,16,12,9
3/16/2024,13,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,19,13,3
3/16/2024,14,What Was I Made For?,Billie Eilish,8,4,22
3/16/2024,15,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,18,4,27
3/16/2024,16,Fast Car,Luke Combs,17,1,40
3/16/2024,17,Selfish,Justin Timberlake,15,4,7
3/16/2024,18,Save Me,Jelly Roll With Lainey Wilson,-,6,39
3/16/2024,19,Lil Boo Thang,Paul Russell,20,2,27
3/16/2024,20,Good Days,SZA,-,20,4
3/16/2024,21,Need A Favor,Jelly Roll,21,2,48
3/16/2024,22,Thinkin' Bout Me,Morgan Wallen,-,4,42
3/16/2024,23,Houdini,Dua Lipa,14,3,12
3/16/2024,24,Wildflowers And Wild Horses,Lainey Wilson,-,22,2
3/16/2024,25,Save Me,Jelly Roll,23,18,9
3/23/2024,1,Lose Control,Teddy Swims,1,1,35
3/23/2024,2,Beautiful Things,Benson Boone,4,1,8
3/23/2024,3,Texas Hold 'Em,Beyonce,2,1,5
3/23/2024,4,We Can't Be Friends (Wait For Your Love),Ariana Grande,-,4,1
3/23/2024,5,What Was I Made For?,Billie Eilish,14,4,23
3/23/2024,6,Standing Next To You,Jung Kook,6,1,19
3/23/2024,7,Shadow,Livingston,-,7,1
3/23/2024,8,Good Day,Forrest Frank,-,8,1
3/23/2024,9,...Baby One More Time,Tenacious D,-,9,1
3/23/2024,10,Lovin On Me,Jack Harlow,7,1,18
3/23/2024,11,Made For Me,Muni Long,10,8,6
3/23/2024,12,Flowers,Miley Cyrus,9,1,47
3/23/2024,13,Hungry Eyes,Eric Carmen,-,13,1
3/23/2024,14,All By Myself,Eric Carmen,-,14,1
3/23/2024,15,Lil Boo Thang,Paul Russell,19,2,28
3/23/2024,16,Wildflowers And Wild Horses,Lainey Wilson,24,16,3
3/23/2024,17,Where The Wild Things Are,Luke Combs,12,12,10
3/23/2024,18,Save Me,Jelly Roll With Lainey Wilson,18,6,40
3/23/2024,19,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,15,4,28
3/23/2024,20,From The Ground Up,Dan + Shay,-,20,13
3/23/2024,21,Kids,New Kids On The Block,-,21,1
3/23/2024,22,Selfish,Justin Timberlake,17,4,8
3/23/2024,23,Save Me,Jelly Roll,25,18,10
3/23/2024,24,Fast Car,Luke Combs,16,1,41
3/23/2024,25,Austin,Dasha,-,25,1
3/30/2024,1,Enough (Miami),Cardi B,-,1,1
3/30/2024,2,FRI(END)S,V,-,2,1
3/30/2024,3,Beautiful Things,Benson Boone,2,1,9
3/30/2024,4,Big Difference,Nicki Minaj,-,4,2
3/30/2024,5,Texas Hold 'Em,Beyonce,3,1,6
3/30/2024,6,Lose Control,Teddy Swims,1,1,36
3/30/2024,7,Paradise,Justin Timberlake Featuring *NSYNC,-,7,1
3/30/2024,8,Lovin On Me,Jack Harlow,10,1,19
3/30/2024,9,Standing Next To You,Jung Kook,6,1,20
3/30/2024,10,What Was I Made For?,Billie Eilish,5,4,24
3/30/2024,11,Good Day,Forrest Frank,8,8,2
3/30/2024,12,Made For Me,Muni Long,11,8,7
3/30/2024,13,Austin,Dasha,25,13,2
3/30/2024,14,We Can't Be Friends (Wait For Your Love),Ariana Grande,4,4,2
3/30/2024,15,Best For Me,Joyner Lucas & Jelly Roll,-,15,1
3/30/2024,16,Save Me,Jelly Roll,23,16,11
3/30/2024,17,Shadow,Livingston,7,7,2
3/30/2024,18,Save Me,Jelly Roll With Lainey Wilson,18,6,41
3/30/2024,19,Flowers,Miley Cyrus,12,1,48
3/30/2024,20,The America I Know,Trump Latinos X Jimmy Levy,-,20,1
3/30/2024,21,Cruel Summer,Taylor Swift,-,1,32
3/30/2024,22,Going Home (Theme From Local Hero),Mark Knopfler's Guitar Heroes,-,22,1
3/30/2024,23,Wildflowers And Wild Horses,Lainey Wilson,16,16,4
3/30/2024,24,Where The Wild Things Are,Luke Combs,17,12,11
3/30/2024,25,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,19,4,29
4/6/2024,1,Beautiful Things,Benson Boone,3,1,10
4/6/2024,2,Like That,"Future, Metro Boomin & Kendrick Lamar",-,2,1
4/6/2024,3,Texas Hold 'Em,Beyonce,5,1,7
4/6/2024,4,Lose Control,Teddy Swims,6,1,37
4/6/2024,5,Too Sweet,Hozier,-,5,1
4/6/2024,6,Austin,Dasha,13,6,3
4/6/2024,7,Obsessed,Olivia Rodrigo,-,7,1
4/6/2024,8,Lovin On Me,Jack Harlow,8,1,20
4/6/2024,9,Enough (Miami),Cardi B,1,1,2
4/6/2024,10,Punteria,Shakira & Cardi B,-,10,1
4/6/2024,11,We Can't Be Friends (Wait For Your Love),Ariana Grande,14,4,3
4/6/2024,12,Stranger,Olivia Rodrigo,-,12,1
4/6/2024,13,So American,Olivia Rodrigo,-,13,1
4/6/2024,14,FRI(END)S,V,2,2,2
4/6/2024,15,Made For Me,Muni Long,12,8,8
4/6/2024,16,Good Day,Forrest Frank,11,8,3
4/6/2024,17,Stick Season,Noah Kahan,-,17,3
4/6/2024,18,Flowers,Miley Cyrus,19,1,49
4/6/2024,19,Scared Of My Guitar,Olivia Rodrigo,-,19,1
4/6/2024,20,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,25,4,30
4/6/2024,21,Save Me,Jelly Roll With Lainey Wilson,18,6,42
4/6/2024,22,Slow It Down,Benson Boone,-,22,1
4/6/2024,23,Girl I've Always Been,Olivia Rodrigo,-,23,1
4/6/2024,24,What Was I Made For?,Billie Eilish,10,4,25
4/6/2024,25,Live Like You Were Dying,Tim McGraw,-,10,17
4/13/2024,1,Texas Hold 'Em,Beyonce,3,1,8
4/13/2024,2,Jolene,Beyonce,-,2,1
4/13/2024,3,II Most Wanted,Beyonce & Miley Cyrus,-,3,1
4/13/2024,4,Beautiful Things,Benson Boone,1,1,11
4/13/2024,5,Neuron,j-hope With Gaeko & YOON MIRAE,-,5,1
4/13/2024,6,Lose Control,Teddy Swims,4,1,38
4/13/2024,7,Blackbiird,"Beyonce, Tanner Adell, Brittney Spencer, Tiera Kennedy & Reyna Roberts",-,7,1
4/13/2024,8,Like That,"Future, Metro Boomin & Kendrick Lamar",2,2,2
4/13/2024,9,FE!N,Travis Scott Featuring Playboi Carti,-,9,1
4/13/2024,10,Too Sweet,Hozier,5,5,2
4/13/2024,11,Save You A Seat,Alex Warren,-,11,1
4/13/2024,12,I Wonder...,j-hope With Jung Kook,-,12,1
4/13/2024,13,Ya Ya,Beyonce,-,13,1
4/13/2024,14,Austin,Dasha,6,6,4
4/13/2024,15,Levii's Jeans,Beyonce & Post Malone,-,15,1
4/13/2024,16,What He'll Never Have,Dylan Scott,-,16,1
4/13/2024,17,Wind Up Missin' You,Tucker Wetmore,-,17,1
4/13/2024,18,FRI(END)S,V,14,2,3
4/13/2024,19,Lovin On Me,Jack Harlow,8,1,21
4/13/2024,20,Truck Bed,HARDY,-,11,12
4/13/2024,21,Bodyguard,Beyonce,-,21,1
4/13/2024,22,Flowers,Miley Cyrus,18,1,50
4/13/2024,23,Live Like You Were Dying,Tim McGraw,25,10,18
4/13/2024,24,We Can't Be Friends (Wait For Your Love),Ariana Grande,11,4,4
